Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 8.00000 0.4000000358 2.1185024810    0.400 -1.679  3.5205  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.967 9.861 11.228 8.714
0.01471 0.00000 8.00000 0.4500000179 2.1822809362    0.450 -1.555  3.5326  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.657 9.467 10.741 8.355
0.01471 0.00000 8.00000 0.5000000000 2.2374541529    0.500 -1.415  3.5490  4.700    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.308 9.013 10.175 7.947
0.01471 0.00000 8.00000 0.5205717683 2.2577008146    0.520 -1.342  3.5596  4.686    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.6e-15      0.00 7.107e-01 2.745e-01 2.654e-03 7.162e-04 6.495e-03 -1.000 1.476e-02 8.124 8.762 9.855 7.727
0.01471 0.00000 8.00000 0.5500000119 2.2836582633    0.550 -1.240  3.5742  4.667    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.52e-15      0.00 7.107e-01 2.745e-01 2.654e-03 7.160e-04 6.494e-03 -1.000 1.476e-02 7.870 8.418 9.424 7.426
0.01471 0.00000 8.00000 0.5516369939 2.2850089519    0.551 -1.233  3.5754  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.59e-15      0.00 7.107e-01 2.745e-01 2.654e-03 7.160e-04 6.494e-03 -1.000 1.476e-02 7.854 8.395 9.395 7.406
0.01471 0.00000 8.00000 0.6000000238 2.3211213258    0.600 -1.066  3.6059  4.658    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.55e-15      0.00 7.108e-01 2.745e-01 2.654e-03 7.160e-04 6.493e-03 -1.000 1.476e-02 7.436 7.816 8.665 6.911
0.01471 0.00000 8.00000 0.6204252839 2.3344425590    0.620 -1.002  3.6208  4.668    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.41e-15      0.00 7.108e-01 2.744e-01 2.654e-03 7.159e-04 6.493e-03 -1.000 1.476e-02 7.275 7.584 8.369 6.718
0.01471 0.00000 8.00000 0.6424230933 2.3477054159    0.642 -0.961  3.6295  4.677    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.92e-15      0.00 7.108e-01 2.744e-01 2.653e-03 7.159e-04 6.492e-03 -1.000 1.476e-02 7.174 7.440 8.187 6.599
0.01471 0.00000 8.00000 0.6499999762 2.3520353107    0.650 -0.951  3.6313  4.679    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.06e-15      0.00 7.108e-01 2.744e-01 2.653e-03 7.159e-04 6.492e-03 -1.000 1.475e-02 7.147 7.404 8.142 6.568
